sample_id,split,label,audio_path,image_path,script_text,scene_id,rl_optimized_label
animated_SB_508,train,not_optimized,animated\audio\audio_508.wav,animated\images\img_508.npy,Chase sequence begins,3,0
animated_SB_665,train,not_optimized,animated\audio\audio_665.wav,animated\images\img_665.npy,Climactic battle scene,8,0
animated_SB_980,train,not_optimized,animated\audio\audio_980.wav,animated\images\img_980.npy,Climactic battle scene,13,0
animated_SB_525,train,not_optimized,animated\audio\audio_525.wav,animated\images\img_525.npy,Hero enters the room,15,0
animated_SB_914,train,not_optimized,animated\audio\audio_914.wav,animated\images\img_914.npy,Hero enters the room,8,0
animated_SB_1034,train,not_optimized,animated\audio\audio_1034.wav,animated\images\img_1034.npy,Villain sets a trap,19,0
animated_SB_433,train,not_optimized,animated\audio\audio_433.wav,animated\images\img_433.npy,Villain sets a trap,17,0
animated_SB_599,train,not_optimized,animated\audio\audio_599.wav,animated\images\img_599.npy,Villain sets a trap,14,0
animated_SB_383,train,not_optimized,animated\audio\audio_383.wav,animated\images\img_383.npy,Chase sequence begins,4,0
animated_SB_218,train,not_optimized,animated\audio\audio_218.wav,animated\images\img_218.npy,Hero enters the room,19,0
animated_SB_727,train,not_optimized,animated\audio\audio_727.wav,animated\images\img_727.npy,Hero enters the room,10,0
animated_SB_1179,train,not_optimized,animated\audio\audio_1179.wav,animated\images\img_1179.npy,Villain sets a trap,19,0
animated_SB_646,train,not_optimized,animated\audio\audio_646.wav,animated\images\img_646.npy,Hero enters the room,4,0
animated_SB_704,train,not_optimized,animated\audio\audio_704.wav,animated\images\img_704.npy,Climactic battle scene,14,0
animated_SB_637,train,not_optimized,animated\audio\audio_637.wav,animated\images\img_637.npy,Hero enters the room,19,0
animated_SB_1093,train,not_optimized,animated\audio\audio_1093.wav,animated\images\img_1093.npy,Dialogue between characters,13,0
animated_SB_608,train,not_optimized,animated\audio\audio_608.wav,animated\images\img_608.npy,Chase sequence begins,17,0
animated_SB_1151,train,not_optimized,animated\audio\audio_1151.wav,animated\images\img_1151.npy,Chase sequence begins,17,0
animated_SB_471,train,not_optimized,animated\audio\audio_471.wav,animated\images\img_471.npy,Chase sequence begins,11,0
animated_SB_1043,train,not_optimized,animated\audio\audio_1043.wav,animated\images\img_1043.npy,Dialogue between characters,11,0
animated_SB_862,train,not_optimized,animated\audio\audio_862.wav,animated\images\img_862.npy,Chase sequence begins,6,0
animated_SB_483,train,not_optimized,animated\audio\audio_483.wav,animated\images\img_483.npy,Hero enters the room,8,0
animated_SB_600,train,not_optimized,animated\audio\audio_600.wav,animated\images\img_600.npy,Villain sets a trap,9,0
animated_SB_663,train,not_optimized,animated\audio\audio_663.wav,animated\images\img_663.npy,Hero enters the room,11,0
animated_SB_162,train,not_optimized,animated\audio\audio_162.wav,animated\images\img_162.npy,Chase sequence begins,17,0
animated_SB_429,train,not_optimized,animated\audio\audio_429.wav,animated\images\img_429.npy,Hero enters the room,3,0
animated_SB_330,train,not_optimized,animated\audio\audio_330.wav,animated\images\img_330.npy,Chase sequence begins,6,0
animated_SB_378,train,not_optimized,animated\audio\audio_378.wav,animated\images\img_378.npy,Dialogue between characters,10,0
animated_SB_164,train,not_optimized,animated\audio\audio_164.wav,animated\images\img_164.npy,Dialogue between characters,17,0
animated_SB_955,train,not_optimized,animated\audio\audio_955.wav,animated\images\img_955.npy,Villain sets a trap,18,0
animated_SB_758,train,not_optimized,animated\audio\audio_758.wav,animated\images\img_758.npy,Villain sets a trap,19,0
animated_SB_773,train,not_optimized,animated\audio\audio_773.wav,animated\images\img_773.npy,Hero enters the room,11,0
animated_SB_228,train,not_optimized,animated\audio\audio_228.wav,animated\images\img_228.npy,Dialogue between characters,8,0
animated_SB_311,train,not_optimized,animated\audio\audio_311.wav,animated\images\img_311.npy,Climactic battle scene,12,0
animated_SB_1153,train,not_optimized,animated\audio\audio_1153.wav,animated\images\img_1153.npy,Chase sequence begins,17,0
animated_SB_543,train,not_optimized,animated\audio\audio_543.wav,animated\images\img_543.npy,Chase sequence begins,10,0
animated_SB_1128,train,not_optimized,animated\audio\audio_1128.wav,animated\images\img_1128.npy,Villain sets a trap,9,0
